text,new_label
Marla brought some sweets for your next meal with Fent.,bully-Ham
Just fall off your brother.,bully-Ham
How he felt after this:,not_bully-Ham
@josh_torbert_44 just kidding just kidding,not_bully-Ham
pls,not_bully-Ham
I follow back!!,not_bully-Ham
D!e!,bully-Ham
@doubleo4682,not_bully-Ham
nigga who is u,bully-Ham
fentanyl,not_bully-Ham
Nigga at this point cut off your hair ,bully-Ham
Blud china get put back in santa workshop,not_bully-Ham
….wa,not_bully-Ham
bro: my internet isnt bad also bro:,not_bully-Ham
"I hate this guy, man.",bully-Ham
"Actually, it's a ciggga.",bully-Ham
nigga reaction is longer than the video,bully-Ham
Well then I’ll put bullets in your skin IP:2882.8282.,not_bully-Spam
I believe it's a chain.,bully-Ham
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,bully-Spam
Me too I didn’t ask for a glass of your opinion,bully-Ham
I really want to give this kid a funny shoelace.,bully-Ham
I was touched through the screen,not_bully-Ham
Use condoms guys,not_bully-Ham
Do you have a voice?,bully-Ham
@oma42069 @henrykaser,not_bully-Ham
"Go to school, go to the Lylewiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School",bully-Spam
You remind me of the last guy I kidnapped,not_bully-Ham
Broou,not_bully-Ham
Bro your soo weird,not_bully-Ham
I didn't ask you to give me any advice.,bully-Ham
Lord have mercy I love this boy,not_bully-Ham
@luke.bergmann_  @baylin_bingham ,not_bully-Spam
@rubn_ak @definitely.notlee,not_bully-Ham
I'm talking about niggers.,bully-Ham
@mykqh.1 @sara.c.parker,not_bully-Ham
That's a dog nigga!,bully-Ham
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",bully-Ham
@shefwjordan00 nigga,bully-Ham
@noolimitpooh's hateful esh,bully-Ham
@azaan_taffazal 10/6 zonewar and 10/7 boxfight,not_bully-Spam
Put some gas in it. I'll be there in five minutes.,bully-Ham
Who let bro cook,not_bully-Ham
@uncleshidfard91 I was being sarcastic pls stfu .,bully-Ham
No one dares to laugh at you.,bully-Ham
Niggers react longer than video.,bully-Ham
Why does our hair look better when we wet it,not_bully-Ham
@9jr.io,not_bully-Ham
Condoms could have saved us.,bully-Ham
@theyfw.s3an @1se3an,not_bully-Ham
"Hey, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",bully-Ham
Who the fuck are you?,bully-Ham
"Every time I see your job, I really want to kill myself, and the more I want to kill myself, the more I want to kill myself.",bully-Ham
Delete your account,bully-Ham
Take me for a nasty button...,bully-Ham
Who is this black as nigga bro,bully-Ham
Stfu,bully-Ham
@imkuriosity @bloxybingowarrior67,not_bully-Ham
God love y’all,not_bully-Ham
@justin______69420 fanum taxed bros originality ,not_bully-Ham
@jay.ifwnb @1._.shemsi._.1,not_bully-Spam
Your the one who wrote it lol nigga,bully-Ham
@shefwjordan00 Nigger @shefwjordan00,bully-Spam
@axongen @committingasyn,not_bully-Ham
@sheluvbalajay don't let me catch you in comments again neptune,not_bully-Ham
@daria_wiredu,not_bully-Ham
He acc pisses me off so much I acc hate him with all my heart,bully-Ham
His face,not_bully-Ham
i’m gonna touch you vexbolts,not_bully-Ham
Start using fentanyl,bully-Ham
"I thought he was joking, but he's a retard.",bully-Ham
"Just spell ""little fart.""",bully-Ham
@5errodmayo why bro get you so mad,not_bully-Ham
@lowfloor.boss ONG,not_bully-Ham
a condom would’ve saved us from seeing this rn,bully-Ham
Pissed at his size lmfaooo you  a lilb,not_bully-Ham
"If there's no living object to feel, all your property will kill itself in the worst way.",bully-Ham
I want you to hold Pepmol on dibutol.,bully-Ham
Of all the drinks to sponsor you sponsor prime? .,not_bully-Ham
Fentanyl is calling your name,not_bully-Ham
factory reset him,not_bully-Ham
Just speak nigeroo#,not_bully-Ham
Stfu you fucking autistic retard looking ass boi you look like that roblox streamer ma boi you need braces for your teeth ass boi your parents have you in the basement for a reason,bully-Spam
This is great. Waiting for more great content like this.,not_bully-Ham
@popa___n he definitely spitting that’s for sure,not_bully-Ham
i'll make u an amber alert kid,not_bully-Ham
Get out of here nigga you have no purpose ,bully-Ham
@adammor0612 skibidi toilet,not_bully-Ham
@makeangelscry We just love to see minorities proving people wrong!,not_bully-Ham
bro what? ,not_bully-Ham
putangina,not_bully-Ham
Did he sound?,bully-Ham
"Guys, you don't have a chance to go to college.",bully-Ham
@tristan_tier_femyfym is all the same.,bully-Ham
"Nigger, please leave me alone.",bully-Ham
@londynstephens35,not_bully-Ham
Spell it ,not_bully-Ham
Bros' camera is trash.,bully-Ham
Wash your greasy ass hair,bully-Ham
@wenhaaao much of the high rise apartments in rural suburban China outside of bigger cities like Ningbo or even Shanghai are made of low quality materials and are susceptible to collapse and damage. Even in some more sparsely populated districts of Shanghai proper ie qingpu and even outer minghang u see buildings (that look quite luxurious on the outside) that are generally unpopulated and are falling apart internally,not_bully-Spam
When did bro get massive,not_bully-Ham
Al final si te regalaron la ps5 por aprobar?,not_bully-Spam
"Spell ""cheeky fecker"" ",bully-Ham
He doesn't know yet,not_bully-Ham
@munno_op1 legend,not_bully-Ham
@rubn_ak ,not_bully-Ham
Free car wash,not_bully-Ham
Honest question,not_bully-Ham
Marla brought some sweets for your next meal with Fent.,bully-Ham
Fentany.,bully-Ham
"Nigger, don't do this again. You're skinny again.",bully-Ham
I know you're alive.,bully-Ham
@youngezeo it’s not it flooded right there and they drove into it u can see and hear when it hit the water,not_bully-Spam
This kids an industry plant for prime,not_bully-Ham
Put some gas in it. I'll be there in five minutes.,bully-Ham
"Guys, you don't have a chance to go to college.",bully-Ham
You molest children,not_bully-Ham
This isn't YouTube n*gga.,bully-Ham
@luhtwxzzy @jadynm006,not_bully-Spam
Nah that’s just what y’all do over there,not_bully-Ham
@elfanum this you?,not_bully-Ham
girl what,not_bully-Ham
mb guys he escaped my basement,not_bully-Ham
@jorusdiary woah there melanie fan,not_bully-Ham
@_1randall ,not_bully-Ham
Are you retarted,bully-Ham
@kanyes_foreskim mao,not_bully-Ham
وای ممه,not_bully-Ham
Fat-ass niggers always lie.,bully-Ham
Drink water,not_bully-Ham
@azaan_taffazal winterfest hm dono ne krna hai,not_bully-Spam
Bro is in a fucking dungeon,not_bully-Ham
I know you're alive.,bully-Ham
Bitch behaved minion ,bully-Ham
I've never resisted the urge to slap someone else.,bully-Ham
Cap,not_bully-Ham
"Bro I love this kid, he's always with good attitude even though when these cruel, no life people say about him in he comments, live on kid ",not_bully-Ham
I’m gonna use the double gulp on the slurpy machine,not_bully-Ham
@gavin.s201 @leon_patton_20,not_bully-Spam
@gonzal0ooooo never was,not_bully-Ham
"Lil Chigga wouldn't be disrespectful to my motherland, Emma, for sending him back to make more calls, would he?",bully-Ham
Put that double chin to work,not_bully-Ham
oo chigga(oo chigga),bully-Ham
Nigga you better not touch that dog,bully-Ham
Nigga takes the coronary virus seriously.,bully-Ham
@liethassad this u?,not_bully-Ham
@nick_el_mejor @c0morian,not_bully-Ham
"You're big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big.",bully-Ham
Is there not a medication for this yet?,not_bully-Ham
@tristan_tiger_femy fym all the same where does the paki term come frm den fucking uneducated ,bully-Ham
Boohoo chigga,bully-Ham
I’m gonna lace your inhaler greasy fuck,bully-Ham
Merry Christmas,not_bully-Ham
Start using fentanyl,bully-Ham
Son of a bitch.,bully-Ham
All Indian names,not_bully-Ham
"Nigger, do you want to get an Amber alert?",bully-Ham
@heavxnzz bitch what SAMEEEE,not_bully-Ham
Just means you got hella plaque on your teeth.,bully-Ham
I’m going to hell,not_bully-Ham
@_.additionally_ same,not_bully-Ham
Wtf duke doing???,not_bully-Ham
@vasz.21 hey bbg,not_bully-Ham
"My hate speech may not disappear from your skin, but I'm sure of it.",bully-Ham
Muharremmmmmmm,not_bully-Ham
@jal_paghdal15 ,not_bully-Ham
"Look at videos from Philippines getthos, slums from S. America, Bangledesh etc then you will see how great China is and even N. Korea looks like paradise ",not_bully-Spam
"Type A, type V, type V, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, 6 type VI, type VI, type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type VI,",bully-Spam
"@drew.ferguson3 adin ross, speed & co. ruined a whole generation of kids lmao",not_bully-Ham
It's a sound cookie.,bully-Ham
@jackmckenzie47 ,not_bully-Ham
I hate you.,bully-Ham
try exercising,not_bully-Ham
@daxynjude stfu nigga,bully-Ham
@syrianpsycho like 10 years ago,not_bully-Ham
"@mollywator i wonder how many videos of children you have on your timeline where you  get so pissed about their weight you legit had to break a sweat making a comment because it doesn’t suit your viewing pleasures LMFAOif you’re also foolish enough to believe in hell, that’s where you’ll be going brothaaaaaaa",not_bully-Spam
Piss penis dodo ass,bully-Ham
nigga turned and talked his partner,bully-Ham
@alihassan_2012 done ha janii,not_bully-Ham
Get this weird Nica off my Fed Insta.,bully-Ham
Tweakin and geakin,not_bully-Ham
No one dares to laugh at you.,bully-Ham
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,bully-Spam
Calling the ccp on ur ass,bully-Ham
@fuckthegovernment5.56 @_sosa_esteven_,not_bully-Spam
Did you change your teeth?,bully-Ham
I really hate you. I hate you.,bully-Ham
@braydenburtonnn ok Brayden,not_bully-Ham
SigmaNigga,bully-Ham
He def has a galaxy cat shirt,not_bully-Ham
I hope you choke on pepmol bismol,bully-Ham
@kevinlong553 callate,not_bully-Ham
Tofu.,bully-Ham
If inanimate objects could feel things all of your possessions would have killed themselves@in the worst way possible,bully-Ham
Get this weird Nica off my Fed Insta.,bully-Ham
bro u used to be skinny,not_bully-Ham
Bro needs to get some new wifi,not_bully-Ham
@tymaj1331 found you,not_bully-Ham
Eggcakes.,bully-Ham
@uncleshidfard91 I was sarcastic at the time.,bully-Ham
Inside joke,not_bully-Ham
"This nigger has no whores, no band, no whores can work in strip clubs, sometimes strip clubs.",bully-Spam
"Big-ass, black-ass, black-ass, three-down, three-brow boy, looks like a big Mike under his neck.",bully-Ham
he sold me a fentanyl cart,not_bully-Ham
The fire is not a friendly fire to Chigga.,bully-Ham
It means you have the Hella sign on your teeth.,bully-Ham
Icy,not_bully-Ham
The black and black and purple that wears purple for the bitches.,bully-Ham
"Actually, it's a ciggga.",bully-Ham
"Irma's oil, oil, oil, oil, touch you.",bully-Ham
Why skz,not_bully-Ham
Nigga please leave me lone,bully-Ham
Fucking fuck wit,bully-Ham
@moh1232935 really hamood,not_bully-Ham
Omgosh those eyes are full of devilment ,not_bully-Ham
Nigga why,bully-Ham
Pissed at his size is dumb af dont even hear yourself ,not_bully-Ham
"Just spell ""little fart.""",bully-Ham
Eggs who?,bully-Ham
@v_antink how bro expected us to react,not_bully-Ham
Niga asked me to catch the missing gg (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Nigg) (Nig) (Nig) (Nig) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga),bully-Spam
Mom needs to give bro a better script  insinuating is “maybe possible” just with modernization,not_bully-Ham
Lesbian haircut,bully-Ham
"Guys, you don't have a chance to go to college.",bully-Ham
Nah this some fnaf menu screen shit ,not_bully-Ham
Santas not real,not_bully-Ham
@ayoub_yyc @__1oganb,not_bully-Ham
I know you're alive.,bully-Ham
@nannitwitch,not_bully-Ham
‍,not_bully-Ham
Get a job,not_bully-Ham
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,bully-Spam
your gonna find something long under your skin tonight,not_bully-Ham
@yaaaannayuhh ong like lil bro mixed . Social media sad nowadays,not_bully-Ham
Hatred from Germany.,bully-Ham
Da nee motten virinja ippale thodngi ichimulli,not_bully-Ham
I didn't ask you to give me any advice.,bully-Ham
Bro tried to reach skypia,not_bully-Ham
@sillydeucee corny,not_bully-Ham
Bro lose some weight,not_bully-Ham
Sound,bully-Ham
Bros tweaking fr,not_bully-Ham
@elwocky lets work,not_bully-Ham
Bring kidnapping here.  _,bully-Spam
@colton.b20 I wanna know,not_bully-Ham
Did you change your teeth?,bully-Ham
Lo q provoca el bullyng,not_bully-Ham
Sell him,not_bully-Ham
@maxxigol2008,not_bully-Ham
You got a big ahh forehead,bully-Ham
Delete your account,bully-Ham
Kindly Delete this ,not_bully-Ham
Autistic,bully-Ham
"They won't do my uncle's fake bcbc every second, and he won't stutter every second like you.",bully-Ham
@colton.b20 i’m nearly ten years older than u but thanks for the compliment ,not_bully-Ham
@alihassan_2012 12/2 zone,not_bully-Ham
"Blue, you got an extra chromium or something.",bully-Ham
@n.o.r.a.h.09 aye twin dm me that,not_bully-Ham
Not the time for you to be talking about wars...,not_bully-Ham
"@colton.b20 you little ass hell ,  respect ur elders",not_bully-Ham
Have a merry christmas ,not_bully-Ham
u wanna be famous if u just eat a bomb everyone will know about you,not_bully-Ham
"Hey, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",bully-Ham
ATEEEEE,not_bully-Ham
it’s always the Star Wars shirt kid,not_bully-Ham
He is under the age of 13,not_bully-Ham
@avenuesablaze,not_bully-Ham
@j3r1n_t,not_bully-Ham
@daxynjude stufu @daxynjude studu,bully-Ham
Did you start over?,bully-Ham
Nigga wdf is u talm bout,bully-Ham
Bro don’t even try to speak English,not_bully-Ham
my recess football team can beat yours easily,not_bully-Ham
Chigga wtf,bully-Ham
@tristan_tiger_femy stupidest shit I read,not_bully-Ham
@publictoiletsguy what the flip that is not nice,not_bully-Ham
@alihassan_2012  badamashy,not_bully-Ham
"Nigga, you better not touch that dog.",bully-Ham
this kid knew too much while kids in U.S doesnt know their gender is,not_bully-Ham
Try heroin injected prime,not_bully-Ham
At least bro got a car wash,not_bully-Ham
I think he needs tighter clothes,not_bully-Ham
Kid you better not travel anywhere near China. After this comment. No joke!,not_bully-Ham
Nigga who is u,bully-Ham
GET THIS FREAKY NIGGA OFF MY FEED INSTA,bully-Ham
pla,not_bully-Ham
thanks for the fentanyl bro i needed it,not_bully-Ham
You like 4 years older than me,not_bully-Ham
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,bully-Spam
"As an Indian, what the fuck bro",not_bully-Ham
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,bully-Spam
Chicken ass ass.,bully-Ham
@c_mill40 yoooooo,not_bully-Ham
I believe it's a chain.,bully-Ham
Somebody get this guy down!,bully-Ham
I want you to hold Pepmol on dibutol.,bully-Ham
gordon,not_bully-Ham
Bros camera is trash,bully-Ham
this shit is dope bro keep it up,not_bully-Ham
I didn't ask you to give me any advice.,bully-Ham
@jaadasun,not_bully-Ham
Bro hating on his home land,not_bully-Ham
I'm talking about niggers.,bully-Ham
@armin_azimi13 @nicolasverresen,bully-Ham
Your scammer!!,not_bully-Ham
Bruh…,not_bully-Ham
It's a sound cookie.,bully-Ham
Nigger.,bully-Ham
How u get that big,not_bully-Ham
They forgot to update him,not_bully-Ham
Niggers. Niggers are Udams.,bully-Spam
Guys calm down he’s just bulking ,not_bully-Ham
@nolimitpoohh annoying esh,bully-Ham
finna die from sugar overdose,not_bully-Ham
He only allowed to say half,not_bully-Ham
Niga let me catching lacking ong,bully-Ham
Did you change your teeth?,bully-Ham
"@daxynjude, please.",bully-Spam
Nigga shut tf up,bully-Ham
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",bully-Ham
Veras,not_bully-Ham
@yourguy_andy reporting the F out this comment,not_bully-Ham
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",bully-Ham
What happened? To you,not_bully-Ham
Ok,not_bully-Ham
Zo ga je eruit zien als je teveel games speelt,not_bully-Ham
@ilegaldwarf your welcome,not_bully-Ham
Marla brought some sweets for your next meal with Fent.,bully-Ham
SigmaniggaName,bully-Ham
It makes me look at it.,bully-Ham
@uncleshidfard91 I was sarcastic at the time.,bully-Ham
Can you smell color?,not_bully-Ham
I've never resisted the urge to slap someone else.,bully-Ham
Nigga got stick drift,bully-Ham
Big brain to the ass.,bully-Ham
That knowing smile of his. Love it ,not_bully-Ham
I'm done with this nigga ,bully-Ham
Niggers. Niggers are Udams.,bully-Spam
It makes me look at it.,bully-Ham
Get this weird Nica off my Fed Insta.,bully-Ham
Jayden?,not_bully-Ham
@bxrdia.sxmino me?,not_bully-Ham
@chrisforever_solo plz just use your eyes,not_bully-Ham
What the fuck,not_bully-Ham
Nigger turns around and talks to his partner.,bully-Ham
Better equipment? Better soldiers? I've heard that during the Vietnam occupation and look what happened to the 'mighty' Americans. Give me a break. Hahaha,not_bully-Ham
@jay.ifwnb @_jynxzorya,not_bully-Spam
Do you have a voice?,bully-Ham
Bro spitting,not_bully-Ham
Call CCCP on your ass.,bully-Ham
I have kids like you in my basement.,bully-Ham
"Guys, I think he’s autistic",bully-Ham
@fuckthegovernment5.56 @boraculhan,not_bully-Spam
Oh you good Jacob ,not_bully-Ham
Bros eye gonna get stuck like that,not_bully-Ham
Big brain to the ass.,bully-Ham
I didn't ask you to give me any advice.,bully-Ham
NOOO WAYYY,not_bully-Ham
Hatred from Germany.,bully-Ham
@oma42069 ,not_bully-Ham
@whyfearwhenyashishere can u translate it for me?,not_bully-Ham
@natal_wit25bucks,not_bully-Ham
so u see,not_bully-Ham
@brwd._.nova,not_bully-Spam
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,bully-Spam
"Who's Nicole, you?",bully-Ham
Just go bald my nigger.,bully-Ham
The bugs are under your skin nigga jys,bully-Ham
@juniornl324 ,not_bully-Ham
"Nigga, you better not touch that dog.",bully-Ham
Did you start over?,bully-Ham
@gonzal0ooooo he was never funny ,not_bully-Ham
That look. ,not_bully-Ham
@jal_paghdal15 he sayin the watermelon ain't got no sweet,not_bully-Ham
Fucking smart ass.,bully-Ham
bro must want me to take of his pants,not_bully-Ham
this shit lame as fuck,bully-Ham
Is it Mr bussin Maddox or Mr buss in Maddox,not_bully-Ham
morning ruined thanks a lot,not_bully-Ham
You're a skinny nigger.,bully-Ham
he anit making it out,not_bully-Ham
nigga you again? ,bully-Ham
I wanna see them spell this shi out,not_bully-Ham
@atx_hugo58 ,not_bully-Ham
Bring me the kidnapping.,bully-Ham
70298k. Shut the fuck up.,bully-Ham
Cómo pudiste escribir feliz navidad si eres de los estados,not_bully-Ham
@emily_whetton2210,not_bully-Ham
Please take a shower bro,not_bully-Ham
"Nigger, you don't have a purpose. You get out of here.",bully-Ham
@lukas_vndlck,not_bully-Ham
@blscknigga63737474,not_bully-Ham
Niggers. Niggers are Udams.,bully-Spam
retardd ,bully-Ham
@danielcastillo_1030,not_bully-Ham
LMFAO HOW DID IT GET IN THE CAR,not_bully-Ham
Hairyniggaballs901,bully-Ham
Dhar man no mentía sobre el autismo,not_bully-Ham
@10krenio fr,not_bully-Ham
Niggers react longer than video.,bully-Ham
@zazamkz @jordan_ramsden103 they really disrespected u like that,not_bully-Ham
How is your hair dry and wet at the same time,not_bully-Ham
get oiled up i’ll be their in 5,not_bully-Ham
Nigger was strangled by that word.,bully-Ham
Friendly fire isn’t on chigga,bully-Ham
Your teeth r social distancing stfu nigga,bully-Ham
Very tricky Jacob!,not_bully-Ham
Bros' camera is trash.,bully-Ham
@hmmjayy bro one slow ass mf ,not_bully-Ham
@no1khotso jordan,not_bully-Ham
Just go bald my nigger.,bully-Ham
"@vines.ethan idk, honestly why do u care so much",not_bully-Ham
"Nigga, you're back.",bully-Ham
Bro why you have to be so mean like it's not his fault and then like y'all want to make fun of him because he's stutters it's not a problem with that,not_bully-Ham
Hatred from Germany.,bully-Ham
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",bully-Ham
Get the badge in,not_bully-Ham
It's a sound cookie.,bully-Ham
