text,label
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,0
Me too I didn’t ask for a glass of your opinion,0
I really want to give this kid a funny shoelace.,0
I was touched through the screen,1
Use condoms guys,1
Do you have a voice?,0
@oma42069 @henrykaser,1
"Go to school, go to the Lylewiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School",0
You remind me of the last guy I kidnapped,1
Broou,1
Bro your soo weird,1
I didn't ask you to give me any advice.,0
Lord have mercy I love this boy,1
@luke.bergmann_  @baylin_bingham ,1
@rubn_ak @definitely.notlee,1
I'm talking about niggers.,0
@mykqh.1 @sara.c.parker,1
That's a dog nigga!,0
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",0
@shefwjordan00 nigga,0
@noolimitpooh's hateful esh,0
@azaan_taffazal 10/6 zonewar and 10/7 boxfight,1
Put some gas in it. I'll be there in five minutes.,0
Who let bro cook,1
@uncleshidfard91 I was being sarcastic pls stfu .,0
No one dares to laugh at you.,0
Niggers react longer than video.,0
Why does our hair look better when we wet it,1
@9jr.io,1
Condoms could have saved us.,0
@theyfw.s3an @1se3an,1
"Hey, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",0
Who the fuck are you?,0
"Every time I see your job, I really want to kill myself, and the more I want to kill myself, the more I want to kill myself.",0
Delete your account,0
Take me for a nasty button...,0
Who is this black as nigga bro,0
Stfu,0
@imkuriosity @bloxybingowarrior67,1
God love y’all,1
@justin______69420 fanum taxed bros originality ,1
@jay.ifwnb @1._.shemsi._.1,1
Your the one who wrote it lol nigga,0
@shefwjordan00 Nigger @shefwjordan00,0
@axongen @committingasyn,1
@sheluvbalajay don't let me catch you in comments again neptune,1
@daria_wiredu,1
He acc pisses me off so much I acc hate him with all my heart,0
His face,1
i’m gonna touch you vexbolts,1
Start using fentanyl,0
"I thought he was joking, but he's a retard.",0
"Just spell ""little fart.""",0
@5errodmayo why bro get you so mad,1
@lowfloor.boss ONG,1
a condom would’ve saved us from seeing this rn,0
Pissed at his size lmfaooo you  a lilb,1
"If there's no living object to feel, all your property will kill itself in the worst way.",0
I want you to hold Pepmol on dibutol.,0
Of all the drinks to sponsor you sponsor prime? .,1
Fentanyl is calling your name,1
factory reset him,1
Just speak nigeroo#,1
Stfu you fucking autistic retard looking ass boi you look like that roblox streamer ma boi you need braces for your teeth ass boi your parents have you in the basement for a reason,0
This is great. Waiting for more great content like this.,1
@popa___n he definitely spitting that’s for sure,1
i'll make u an amber alert kid,1
Get out of here nigga you have no purpose ,0
@adammor0612 skibidi toilet,1
@makeangelscry We just love to see minorities proving people wrong!,1
bro what? ,1
putangina,1
Did he sound?,0
"Guys, you don't have a chance to go to college.",0
@tristan_tier_femyfym is all the same.,0
"Nigger, please leave me alone.",0
@londynstephens35,1
Spell it ,1
Bros' camera is trash.,0
Wash your greasy ass hair,0
@wenhaaao much of the high rise apartments in rural suburban China outside of bigger cities like Ningbo or even Shanghai are made of low quality materials and are susceptible to collapse and damage. Even in some more sparsely populated districts of Shanghai proper ie qingpu and even outer minghang u see buildings (that look quite luxurious on the outside) that are generally unpopulated and are falling apart internally,1
When did bro get massive,1
Al final si te regalaron la ps5 por aprobar?,1
"Spell ""cheeky fecker"" ",0
He doesn't know yet,1
@munno_op1 legend,1
@rubn_ak ,1
Free car wash,1
Honest question,1
Marla brought some sweets for your next meal with Fent.,0
Fentany.,0
"Nigger, don't do this again. You're skinny again.",0
I know you're alive.,0
@youngezeo it’s not it flooded right there and they drove into it u can see and hear when it hit the water,1
This kids an industry plant for prime,1
Put some gas in it. I'll be there in five minutes.,0
"Guys, you don't have a chance to go to college.",0
You molest children,1
This isn't YouTube n*gga.,0
@luhtwxzzy @jadynm006,1
Nah that’s just what y’all do over there,1
@elfanum this you?,1
girl what,1
mb guys he escaped my basement,1
@jorusdiary woah there melanie fan,1
@_1randall ,1
Are you retarted,0
@kanyes_foreskim mao,1
وای ممه,1
Fat-ass niggers always lie.,0
Drink water,1
@azaan_taffazal winterfest hm dono ne krna hai,1
Bro is in a fucking dungeon,1
I know you're alive.,0
Bitch behaved minion ,0
I've never resisted the urge to slap someone else.,0
Cap,1
"Bro I love this kid, he's always with good attitude even though when these cruel, no life people say about him in he comments, live on kid ",1
I’m gonna use the double gulp on the slurpy machine,1
@gavin.s201 @leon_patton_20,1
@gonzal0ooooo never was,1
"Lil Chigga wouldn't be disrespectful to my motherland, Emma, for sending him back to make more calls, would he?",0
Put that double chin to work,1
oo chigga(oo chigga),0
Nigga you better not touch that dog,0
Nigga takes the coronary virus seriously.,0
@liethassad this u?,1
@nick_el_mejor @c0morian,1
"You're big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big.",0
Is there not a medication for this yet?,1
@tristan_tiger_femy fym all the same where does the paki term come frm den fucking uneducated ,0
Boohoo chigga,0
I’m gonna lace your inhaler greasy fuck,0
Merry Christmas,1
Start using fentanyl,0
Son of a bitch.,0
All Indian names,1
"Nigger, do you want to get an Amber alert?",0
@heavxnzz bitch what SAMEEEE,1
Just means you got hella plaque on your teeth.,0
I’m going to hell,1
@_.additionally_ same,1
Wtf duke doing???,1
@vasz.21 hey bbg,1
"My hate speech may not disappear from your skin, but I'm sure of it.",0
Muharremmmmmmm,1
@jal_paghdal15 ,1
"Look at videos from Philippines getthos, slums from S. America, Bangledesh etc then you will see how great China is and even N. Korea looks like paradise ",1
"Type A, type V, type V, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, 6 type VI, type VI, type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type VI,",0
"@drew.ferguson3 adin ross, speed & co. ruined a whole generation of kids lmao",1
It's a sound cookie.,0
@jackmckenzie47 ,1
I hate you.,0
try exercising,1
@daxynjude stfu nigga,0
@syrianpsycho like 10 years ago,1
"@mollywator i wonder how many videos of children you have on your timeline where you  get so pissed about their weight you legit had to break a sweat making a comment because it doesn’t suit your viewing pleasures LMFAOif you’re also foolish enough to believe in hell, that’s where you’ll be going brothaaaaaaa",1
Piss penis dodo ass,0
nigga turned and talked his partner,0
@alihassan_2012 done ha janii,1
Get this weird Nica off my Fed Insta.,0
Tweakin and geakin,1
No one dares to laugh at you.,0
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,0
Calling the ccp on ur ass,0
@fuckthegovernment5.56 @_sosa_esteven_,1
Did you change your teeth?,0
I really hate you. I hate you.,0
@braydenburtonnn ok Brayden,1
SigmaNigga,0
He def has a galaxy cat shirt,1
I hope you choke on pepmol bismol,0
@kevinlong553 callate,1
Tofu.,0
If inanimate objects could feel things all of your possessions would have killed themselves@in the worst way possible,0
Get this weird Nica off my Fed Insta.,0
bro u used to be skinny,1
Bro needs to get some new wifi,1
@tymaj1331 found you,1
Eggcakes.,0
@uncleshidfard91 I was sarcastic at the time.,0
Inside joke,1
"This nigger has no whores, no band, no whores can work in strip clubs, sometimes strip clubs.",0
"Big-ass, black-ass, black-ass, three-down, three-brow boy, looks like a big Mike under his neck.",0
he sold me a fentanyl cart,1
The fire is not a friendly fire to Chigga.,0
It means you have the Hella sign on your teeth.,0
Icy,1
The black and black and purple that wears purple for the bitches.,0
"Actually, it's a ciggga.",0
"Irma's oil, oil, oil, oil, touch you.",0
Why skz,1
Nigga please leave me lone,0
Fucking fuck wit,0
@moh1232935 really hamood,1
Omgosh those eyes are full of devilment ,1
Nigga why,0
Pissed at his size is dumb af dont even hear yourself ,1
"Just spell ""little fart.""",0
Eggs who?,0
@v_antink how bro expected us to react,1
Niga asked me to catch the missing gg (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Nigg) (Nig) (Nig) (Nig) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga),0
Mom needs to give bro a better script  insinuating is “maybe possible” just with modernization,1
Lesbian haircut,0
"Guys, you don't have a chance to go to college.",0
Nah this some fnaf menu screen shit ,1
Santas not real,1
@ayoub_yyc @__1oganb,1
I know you're alive.,0
@nannitwitch,1
‍,1
Get a job,1
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,0
your gonna find something long under your skin tonight,1
@yaaaannayuhh ong like lil bro mixed . Social media sad nowadays,1
Hatred from Germany.,0
Da nee motten virinja ippale thodngi ichimulli,1
I didn't ask you to give me any advice.,0
Bro tried to reach skypia,1
@sillydeucee corny,1
Bro lose some weight,1
Sound,0
Bros tweaking fr,1
@elwocky lets work,1
Bring kidnapping here.  _,0
@colton.b20 I wanna know,1
Did you change your teeth?,0
Lo q provoca el bullyng,1
Sell him,1
@maxxigol2008,1
You got a big ahh forehead,0
Delete your account,0
Kindly Delete this ,1
Autistic,0
"They won't do my uncle's fake bcbc every second, and he won't stutter every second like you.",0
@colton.b20 i’m nearly ten years older than u but thanks for the compliment ,1
@alihassan_2012 12/2 zone,1
"Blue, you got an extra chromium or something.",0
@n.o.r.a.h.09 aye twin dm me that,1
Not the time for you to be talking about wars...,1
"@colton.b20 you little ass hell ,  respect ur elders",1
Have a merry christmas ,1
u wanna be famous if u just eat a bomb everyone will know about you,1
"Hey, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",0
ATEEEEE,1
it’s always the Star Wars shirt kid,1
He is under the age of 13,1
@avenuesablaze,1
@j3r1n_t,1
@daxynjude stufu @daxynjude studu,0
Did you start over?,0
Nigga wdf is u talm bout,0
Bro don’t even try to speak English,1
my recess football team can beat yours easily,1
Chigga wtf,0
@tristan_tiger_femy stupidest shit I read,1
@publictoiletsguy what the flip that is not nice,1
@alihassan_2012  badamashy,1
"Nigga, you better not touch that dog.",0
this kid knew too much while kids in U.S doesnt know their gender is,1
Try heroin injected prime,1
At least bro got a car wash,1
I think he needs tighter clothes,1
Kid you better not travel anywhere near China. After this comment. No joke!,1
Nigga who is u,0
GET THIS FREAKY NIGGA OFF MY FEED INSTA,0
pla,1
thanks for the fentanyl bro i needed it,1
You like 4 years older than me,1
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,0
"As an Indian, what the fuck bro",1
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,0
Chicken ass ass.,0
@c_mill40 yoooooo,1
I believe it's a chain.,0
Somebody get this guy down!,0
I want you to hold Pepmol on dibutol.,0
gordon,1
Bros camera is trash,0
this shit is dope bro keep it up,1
I didn't ask you to give me any advice.,0
@jaadasun,1
Bro hating on his home land,1
I'm talking about niggers.,0
@armin_azimi13 @nicolasverresen,0
Your scammer!!,1
Bruh…,1
It's a sound cookie.,0
Nigger.,0
How u get that big,1
They forgot to update him,1
Niggers. Niggers are Udams.,0
Guys calm down he’s just bulking ,1
@nolimitpoohh annoying esh,0
finna die from sugar overdose,1
He only allowed to say half,1
Niga let me catching lacking ong,0
Did you change your teeth?,0
"@daxynjude, please.",0
Nigga shut tf up,0
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",0
Veras,1
@yourguy_andy reporting the F out this comment,1
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",0
What happened? To you,1
Ok,1
Zo ga je eruit zien als je teveel games speelt,1
@ilegaldwarf your welcome,1
Marla brought some sweets for your next meal with Fent.,0
SigmaniggaName,0
It makes me look at it.,0
@uncleshidfard91 I was sarcastic at the time.,0
Can you smell color?,1
I've never resisted the urge to slap someone else.,0
Nigga got stick drift,0
Big brain to the ass.,0
That knowing smile of his. Love it ,1
I'm done with this nigga ,0
Niggers. Niggers are Udams.,0
It makes me look at it.,0
Get this weird Nica off my Fed Insta.,0
Jayden?,1
@bxrdia.sxmino me?,1
@chrisforever_solo plz just use your eyes,1
What the fuck,1
Nigger turns around and talks to his partner.,0
Better equipment? Better soldiers? I've heard that during the Vietnam occupation and look what happened to the 'mighty' Americans. Give me a break. Hahaha,1
@jay.ifwnb @_jynxzorya,1
Do you have a voice?,0
Bro spitting,1
Call CCCP on your ass.,0
I have kids like you in my basement.,0
"Guys, I think he’s autistic",0
@fuckthegovernment5.56 @boraculhan,1
Oh you good Jacob ,1
Bros eye gonna get stuck like that,1
Big brain to the ass.,0
I didn't ask you to give me any advice.,0
NOOO WAYYY,1
Hatred from Germany.,0
@oma42069 ,1
@whyfearwhenyashishere can u translate it for me?,1
@natal_wit25bucks,1
so u see,1
@brwd._.nova,1
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,0
"Who's Nicole, you?",0
Just go bald my nigger.,0
The bugs are under your skin nigga jys,0
@juniornl324 ,1
"Nigga, you better not touch that dog.",0
Did you start over?,0
@gonzal0ooooo he was never funny ,1
That look. ,1
@jal_paghdal15 he sayin the watermelon ain't got no sweet,1
Fucking smart ass.,0
bro must want me to take of his pants,1
this shit lame as fuck,0
Is it Mr bussin Maddox or Mr buss in Maddox,1
morning ruined thanks a lot,1
You're a skinny nigger.,0
he anit making it out,1
nigga you again? ,0
I wanna see them spell this shi out,1
@atx_hugo58 ,1
Bring me the kidnapping.,0
70298k. Shut the fuck up.,0
Cómo pudiste escribir feliz navidad si eres de los estados,1
@emily_whetton2210,1
Please take a shower bro,1
"Nigger, you don't have a purpose. You get out of here.",0
@lukas_vndlck,1
@blscknigga63737474,1
Niggers. Niggers are Udams.,0
retardd ,0
@danielcastillo_1030,1
LMFAO HOW DID IT GET IN THE CAR,1
Hairyniggaballs901,0
Dhar man no mentía sobre el autismo,1
@10krenio fr,1
Niggers react longer than video.,0
@zazamkz @jordan_ramsden103 they really disrespected u like that,1
How is your hair dry and wet at the same time,1
get oiled up i’ll be their in 5,1
Nigger was strangled by that word.,0
Friendly fire isn’t on chigga,0
Your teeth r social distancing stfu nigga,0
Very tricky Jacob!,1
Bros' camera is trash.,0
@hmmjayy bro one slow ass mf ,1
@no1khotso jordan,1
Just go bald my nigger.,0
"@vines.ethan idk, honestly why do u care so much",1
"Nigga, you're back.",0
Bro why you have to be so mean like it's not his fault and then like y'all want to make fun of him because he's stutters it's not a problem with that,1
Hatred from Germany.,0
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",0
Get the badge in,1
It's a sound cookie.,0
@ryd3r.808 Hahahahahahahahaha!!  What a chuckle!! ,1
Bros on 1000 ping.,1
I hate you,0
 look ahh,1
"Just spell ""little fart.""",0
Ion like this Nigga anymore,0
you sucks,0
"Not a smiley face, not a headache, not even a subtle amount of air from my esophagus. Science says, I didn't even feel a little touched before you laughed at your brain for your muscles. It's a bad joke, I can't believe that anyone legally allowed you any creativity. You have to put it into that joke. You have to put the amount of brain energy into that brain that has the potential to power every house on Earth. Get a personality, learn a joke, read a book. I'm not saying it's funny.",0
Sweating that whole video,1
The edits are actually good too. Bros wasting his talent making sigma posts ‍,1
@kidchriss Big Nigger ne aukaat dikha dikha di,0
@yanezz._ @melanieburke.15,1
killing myself,1
Bro he doesnt even need to clap he just clap with his chest ,1
@skin_vvalker ,1
Santa’s not real,1
I follow back!!,1
Comment #1000,1
Fentany.,0
Nigger turns around and talks to his partner.,0
fire edit dude!!!! ,1
Eh ‘em @colbybrock,1
just go bald my nigga,0
Call CCCP on your ass.,0
ima touch you too,1
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,0
@bashir_2465 yes you,1
I'm talking about niggers.,0
@playaboimikey ,1
The man who wrote it.,0
He already ruined his future no Chinese upfront cook no more,1
Keys without the e,1
Fucking smart ass.,0
Niggers. Niggers are Udams.,0
Pov:When you watch vids like this and realized the button,1
american propaganda ,1
Who's the nigger and who's the u?,0
Nugget,1
give him fentanyl,1
"Get my Temu orders, nigger.",0
BROS VALID,1
Haven't seen this guy in like 3 years he fat asf now,1
"We have a word to say about little shit like you, calling",0
@luhtwxzzy @evanguzman.36,1
Delete your account,0
Good god what is this,1
this niggas mad annoying,0
“sighs” goes to comments,1
@_sahej_,1
I want to shoot you with my shotgun,0
Did he sound?,0
Tofu.,0
get a job bro,1
Someone give this kid drugs,0
That’s a mixed kid. Yall virgins needa get off his meat,1
@wilbertp_,1
Tinha que ser gamer,1
"Nigga, you better not touch that dog.",0
It sucks.,0
@tristan_tier_femyfym is all the same.,0
Who the fuck are you?,0
@raafawgzzz w,1
Put it down,1
do fentanyl,0
Word my boy,1
@comprocuentas512  @san1of1,1
mf gave me a fucking side quest,1
United states was built upon war constantly practices war and is basically a 24/7 take out on wars just take a ticket and get in line,1
"Not funny I didn't laugh. Your joke is so bad I would have preferred the joke went over my head and you gave up re-telling me the joke. To be honest this is a horrid attempt at trying to get a laugh out of me . Not a chuckle, not a hehe ,not even a subtle burst of air out of my esophagus.  Science say before you laugh your brain preps your face muscles but I didn't even feel the slightest twitch. 0/10 this joke is so bad I cannot believe anyone legally allowed you to be creative at all. The amount of brain power you must have put into that joke has the potential to power every house on Earth. Get a personality and learn how to make a joke, read a book. I'm not saying this to be funny l genuinely mean it on how this is just bottom barrel embarrassment at comedy.  You've single handedly killed humor and every comedic act on the planet. I'm so disappointed that society has failed as a whole in being able to teach you how to be funny. Honestly if I put in all my power and time to try and make your joke funny it would require Einstein himself to build a device to strap me into so I can be connected to the energy of a billion stars to do it, and even that all that joke would get from people is a subtle scuff. You're lucky I sill have the slightest of empathy for you after telling that joke otherwise I would have committed every war crime in the book just to prevent you from attending any humor ever again. We should put that joke in text books so future generations can be wary of becoming such an absolute comedic failure. I'm disappointed,hurt and outright offended that my precious time has been wasted in my brain understanding that joke. In the time that took I was planning on helping kids who have been orphaned, but because of that you've waisted my time explaining the obscene in tegrity of your terrible attempt at comedy. Now those kids are suffering without meals and there's nobody to blame but you. I hope you're happy with what you have done and I truly hope you can move on and learn from this piss poor attempt",0
"Nigger, you don't have a purpose. You get out of here.",0
Dam he got fat,1
@voon_the_spoon ,1
Loose some weight fat nigha,0
Wanna be friends on roblox,1
Thirteenth reason,1
Eggcakes.,0
A lesbian haircut.,0
mega mind lookin ass,0
you should go for an eye appointment nigga,0
I have kids like you in my basement.,0
Tofu.,0
Get this weird Nica off my Fed Insta.,0
@isom.tech U proved urself again that u have ZERO idea bout Chinese regulations. Stay dumb lol,1
Tofu.,0
He got mad big,1
Interesting nigga952.,0
@orbitabsolute real,1
It flooded right there and they drove into it u can see and hear when it hit the water,1
I didn't ask you to give me any advice.,0
@luhtwxzzy @prestonmullane,1
yep buddy no college for u,0
@tristan_tier_femyfym is all the same.,0
Someone get this guy off here,0
@daxynjude stufu @daxynjude studu,0
I hate this guy bro,0
Sometimes I look at my toaster and my bathtub and wonder if it’s as bad as people say it is,1
"We have a word for little dog shit like you, called ",0
W,1
Hope you had a awesome Christmas @brendanslife !! I really enjoy you in the Dhar man series! Have a great night! ,1
Condoms could have saved us.,0
Bro loves a dog's booty,1
What's this nigger looking at?,0
How does he bike tho,1
@rubn_ak @milesvo1,1
“you fell off” ahh dreads,1
Niggers drinking Uranium Uranium Acid.,0
BRO GAVE ME A NEW ICK,1
Marla brought some sweets for your next meal with Fent.,0
